label,longitude,latitude,TypeCode,Priority,APC_Diameter,APC_Depth,Comment,elevation,APC_Diameter_numeric,APC_Depth_numeric,type_score,priority_score,morphology_score,themis_lon_tile,themis_lat_tile,themis_tile,themis_quantitative_product_name
CC0795,236.1613,-3.2041,sky,1,,,tube skylight,4592.099063999354,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0796,236.1519,-3.1969,sky,1,,,tube skylight,4589.008662474458,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0797,236.1465,-3.18884,sky,1,,,tube skylight,4586.0846088042135,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0798,236.1458,-3.18738,sky,1,,,tube skylight,4585.507188096894,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0799,236.1454,-3.18506,sky,1,,,tube skylight,4584.751179265574,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0800,236.1448,-3.18359,sky,1,,,tube skylight,4584.073096991634,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0801,236.1339,-3.16638,sky,1,,,tube skylight,4573.089576644511,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0802,236.1231,-3.15637,sky,1,,,tube skylight,4564.819870269137,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0929,242.9741,-0.26598,sky,1,,,"pair of 60-m pits in flow, 1km apart",6403.049278614051,,,5,4,4.6,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0930,242.9604,-0.27606,sky,1,,,"pair of 60-m pits in flow, 1km apart",6412.27493938701,,,5,4,4.6,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
APC016,243.0341,-4.20642,APC,0,55,35.0,APC - deep - 60m >.65 d/D,8027.260542565733,55.0,35.0,4,5,4.4,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
APC045,237.8282,-2.04173,APC,0,95,67.0,Probably Type I,4971.375411079701,95.0,67.0,4,5,4.4,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
APC061,240.9015,-7.17221,APC,0,119,55.0,APC nochain,12331.8017115082,119.0,55.0,4,5,4.4,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
APC073,245.89,-16.33,APC,0,150,50.0,APC,6285.005343999995,150.0,50.0,4,5,4.4,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
APC074,239.22,-13.94,APC,0,180,46.0,APC,9509.23257600005,180.0,46.0,4,5,4.4,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
APC075,241.3931,-5.5332,APC,0,165,345.0,APC ~ Jeanne,9963.4134845422,165.0,345.0,4,5,4.4,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
APC079,240.04,-14.28,APC,0,175,84.0,APC in chain b=164,8713.321023999968,175.0,84.0,4,5,4.4,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
APC085,247.5515,17.28099,APC,0,200,59.0,Fanpit B,2152.857214178768,200.0,59.0,4,5,4.4,240E,00N,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp
APC094,259.3536,24.76974,APC,0,350,128.0,Tractus3,2195.8327341688705,350.0,128.0,4,5,4.4,240E,00N,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp
APC095,259.3452,26.16333,APC,0,375,183.0,Tractus1,2076.0663633813338,375.0,183.0,4,5,4.4,240E,00N,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp
APC098,245.85,-16.25,APC,0,150,50.0,APC,6294.999999999997,150.0,50.0,4,5,4.4,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
APC099,242.5299,-17.46004,APC,0,215,151.0,APC,6246.219900192177,215.0,151.0,4,5,4.4,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
APC104,238.6571,-6.36218,APC,0,130,57.0,APC,10432.235361462155,130.0,57.0,4,5,4.4,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
APC121,259.3264,25.23291,APC,0,425,185.0,Tractus2,2182.7129640973462,425.0,185.0,4,5,4.4,240E,00N,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp
APC129,231.8792,-2.09052,APC,0,230,105.0,Outstandingly perfect Type II APC,2869.4638454255155,230.0,105.0,4,5,4.4,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
