label,longitude,latitude,TypeCode,Priority,APC_Diameter,APC_Depth,APC_Diameter_numeric,elevation,APC_Depth_numeric,morphology_score,themis_tile,themis_quantitative_product_name,Comment,TI_center_pixel,TI_center_mean_3x3,TI_center_median_3x3,TI_surrounding_mean,TI_surrounding_median,TI_surrounding_std,Delta_TI,Local_TI_zscore,valid_surrounding_pixels,thermal_status,pixel_row,pixel_col,raster_file,thermal_rank_score
CC0348,236.3306,0.59424,sky,0,,,,4236.456554093951,,5.0,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp,Skylight,155.57742309570312,153.74932861328125,154.12388610839844,149.51252818508982,149.58728790283203,6.744850788248614,4.611357923308617,0.6836856838023565,1188,ok,17430,33390,THEMIS_TI_Mosaic_Quant_00N180E_100mpp.tif,0.8006944444444445
APC033,240.4639,-0.95215,APC,1,70,89.0,70.0,5853.475507157115,89.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,"APC -- deep, ~70m",157.96629333496094,152.12901814778647,151.5234375,146.9472959306505,146.85131072998047,6.66474645509065,4.576141569349488,0.6866190034662386,1188,ok,564,275,THEMIS_TI_Mosaic_Quant_30S240E_100mpp.tif,0.7940972222222222
APC009,244.2588,-1.28809,APC,1,40,45.0,40.0,7473.616109916817,45.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC ~ small deep,162.22616577148438,156.11492750379773,155.44166564941406,151.36475301029705,151.3154296875,7.8055731557464085,4.076912639117012,0.5223079148410283,1188,ok,763,2524,THEMIS_TI_Mosaic_Quant_30S240E_100mpp.tif,0.7875
CC0353,236.5744,-1.49963,sky,1,,,,4365.557700917484,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight,150.2559814453125,147.63738335503473,147.789306640625,143.0067271736736,143.07939910888672,6.987666775856916,4.782579466951404,0.684431530632756,1188,ok,888,33534,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.7791666666666667
APC001,240.4585,-0.94678,APC,1,25,32.0,25.0,5845.516289233242,32.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC -- tiny ~25m,149.5858612060547,150.99537828233508,151.05911254882812,147.18981150103738,147.0361099243164,6.858141613150923,3.869301047790742,0.564190893983745,1188,ok,561,272,THEMIS_TI_Mosaic_Quant_30S240E_100mpp.tif,0.773263888888889
CC0093,255.9496,8.86151,lat,0,,,,7993.359018929486,,3.8,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp,lateral candidate - overhanging ledge,128.10426330566406,128.9785130818685,131.21975708007812,117.11822897015196,117.11994934082031,8.719427006014996,14.101528109926164,1.6172539893043876,1188,ok,12530,9454,THEMIS_TI_Mosaic_Quant_00N240E_100mpp.tif,0.7697916666666665
APC083,239.53,-13.38,APC,1,190,82.0,190.0,9946.05734400002,82.0,4.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,APC,120.34141540527344,132.9378416273329,130.8139190673828,114.44396825591322,122.4899673461914,19.48407058113919,16.369950811469593,0.8401709870275208,1188,ok,7930,35286,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.7600694444444445
CC0900,232.8984,0.37378,sky,0,,,,2832.284263687021,,5.0,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp,Cave / natural bridge near Biblis Patera,149.12217712402344,146.89580790201822,148.43182373046875,144.93535145204075,144.83838653564453,6.346223440890576,3.4964722784280013,0.5509532261185773,1188,ok,17561,31355,THEMIS_TI_Mosaic_Quant_00N180E_100mpp.tif,0.7552083333333333
APC056,237.0503,-0.33545,APC,1,115,86.0,115.0,4390.513287063712,86.0,4.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,APC deep super pair,178.3617401123047,169.22492133246527,174.71429443359375,172.87458945123436,173.05228424072266,8.430674885632218,1.8397049823593932,0.21821562417199455,1188,ok,198,33816,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.7451388888888889
APC082,239.02,-6.31,APC,1,185,99.0,185.0,10397.795360000064,99.0,4.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,APC,158.36473083496094,167.7043948703342,165.6052703857422,163.24205622046884,162.9128875732422,9.382176006016731,2.363214165273348,0.2518833758562868,1188,ok,3740,34984,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.740625
APC005,240.8867,-5.68445,APC,1,30,17.0,30.0,10144.570833539166,17.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC deep pair,139.35208129882812,140.14117431640625,139.35208129882812,135.01862884932495,134.9900665283203,7.189691396244029,4.33345244950317,0.6027313566987049,1188,ok,3369,525,THEMIS_TI_Mosaic_Quant_30S240E_100mpp.tif,0.7402777777777778
CC0790,235.968,-2.86755,sky,0,,,,4453.576426543431,,5.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,tube skylight,127.56671905517578,124.6353268093533,125.84309387207031,118.7774803277218,118.63335800170898,6.2108111819141545,7.065613544348508,1.1376313556147921,1188,ok,1699,33175,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.728125
CC0323,236.7699,-0.46796,sky,1,,,,4318.323512301442,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight,145.03793334960938,144.39371405707465,145.03793334960938,141.94427863997643,141.97852325439453,6.675412937108616,3.0936547096329434,0.4634402004459258,1188,ok,277,33650,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.726736111111111
APC020,240.5234,-1.05363,APC,1,70,53.0,70.0,5938.9164015290735,53.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,CTX images not very clear.,142.236083984375,147.4530232747396,146.9368438720703,144.243334555064,144.36327362060547,6.564110197849818,2.693509317006317,0.4103388328076241,1188,ok,624,310,THEMIS_TI_Mosaic_Quant_30S240E_100mpp.tif,0.7180555555555556
APC065,239.95,-13.92,APC,1,125,59.0,125.0,9194.339999999987,59.0,4.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,APC nochain,148.66766357421875,142.64956834581164,143.480712890625,140.118732767073,140.05328369140625,8.632658423085795,3.3619801235520015,0.38944899227812163,1188,ok,8251,35535,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.7177083333333333
APC057,238.309,-14.36212,APC,1,115,39.0,115.0,9023.929205154294,39.0,4.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,APC 144m  dark material inside? possible vent,137.79103088378906,143.59510633680554,144.95184326171875,141.81095077694465,141.68931579589844,9.99893187593215,3.140892484774099,0.3141228006897776,1188,ok,8513,34563,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.7111111111111111
APC041,239.3748,-1.02046,APC,1,90,57.0,90.0,5266.8744780587085,57.0,4.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,"APC, 85m, 52deep",236.67703247070312,231.7259318033854,228.95970153808594,229.33027149290348,229.38818359375,8.886031343221699,-0.3705699548175403,-0.04170252619018867,1188,ok,604,35194,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.7107638888888889
APC011,243.2452,-4.50244,APC,1,45,34.0,45.0,8169.741556585549,34.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC irregular 119x45,186.9617919921875,172.5962677001953,171.23753356933594,170.31333707558989,170.422607421875,6.642521338341532,0.9241964937460523,0.13913338725936267,1188,ok,2668,1923,THEMIS_TI_Mosaic_Quant_30S240E_100mpp.tif,0.7097222222222223
CC0233,236.213,-3.27304,sky,1,,,,4626.143787772223,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight,128.87916564941406,129.3000946044922,128.2217559814453,124.47856060503308,124.3904037475586,6.166719197561389,3.743195376412231,0.6069994848950584,1188,ok,1940,33320,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.704513888888889
CC0025,240.8302,-6.68977,end,1,,,,11275.097953864575,,3.4,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,"Pit at end of trough, possibly under overhang",119.0997085571289,123.916990492079,119.0997085571289,98.71277900336166,98.44258499145508,8.402682438655665,20.386929553767246,2.4262406323936867,1188,ok,3965,492,THEMIS_TI_Mosaic_Quant_30S240E_100mpp.tif,0.6982638888888889
CC0795,236.1613,-3.2041,sky,1,,,,4592.099063999354,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,tube skylight,129.53131103515625,126.53995174831815,126.92506408691406,123.4142460807004,123.74364852905273,6.223157073156103,3.5108180062136682,0.5641538474671893,1188,ok,1899,33289,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.6875
APC013,244.2788,-1.12158,APC,1,45,50.0,45.0,7456.469775340143,50.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,"APC ~ small deep, faint graben?",163.53054809570312,166.73887803819446,164.65927124023438,163.62233493304012,163.6950454711914,18.025349879145796,1.036936307194253,0.05752655644115533,1188,ok,664,2536,THEMIS_TI_Mosaic_Quant_30S240E_100mpp.tif,0.6868055555555556
APC079,240.04,-14.28,APC,0,175,84.0,175.0,8713.321023999968,84.0,4.4,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC in chain b=164,137.82504272460938,134.84330240885416,136.75677490234375,133.7275202651618,131.69841766357422,11.563984366224728,3.029254637181964,0.2619559609600993,1188,ok,8464,24,THEMIS_TI_Mosaic_Quant_30S240E_100mpp.tif,0.6809027777777776
