label,region,longitude,latitude,TypeCode,Priority,APC_Diameter,APC_Depth,elevation,TI_center_median_3x3,TI_surrounding_mean,Delta_TI,Local_TI_zscore,thermal_rank_score,morphology_score,score_TI_absolute,score_Delta_TI_positive,score_TI_zscore,score_type_mission,score_priority,score_geometry,mission_candidate_score,thermal_interpretation,mission_relevance,Comment
CC0727,Kasei / NW,276.3057,44.09782,lat,0,,,1157.6978052195698,478.8370361328125,512.4493288239245,-33.612292691111975,-0.3292890159748258,0.5663194444444445,3.8,0.9861111111111112,0.2638888888888889,0.3298611111111111,0.85,1.0,0.27814625850340136,0.6172937925170068,Negative local thermal anomaly / possible shadow or low-inertia material,possible lateral access,Cliff wall lateral tube candidate
CC0725,Elysium / Cerberus,161.1184,9.6161,lat,0,,,-3020.803277597778,282.394287109375,312.74945292488894,-30.355165815513946,-0.2803129540082589,0.5618055555555556,3.8,0.9583333333333334,0.2638888888888889,0.3611111111111111,0.85,1.0,0.27814625850340136,0.6150368480725623,Negative local thermal anomaly / possible shadow or low-inertia material,possible lateral access,Cliff wall lateral tube candidate
CC0901,Other,39.1812,26.27903,pit,0,,,-2140.7793053349774,136.33529663085938,136.20758342421817,0.1277132066412036,0.0141383881110213,0.5809027777777778,3.8,0.6284722222222222,0.5347222222222222,0.53125,0.75,1.0,0.27814625850340136,0.6108007369614512,Thermally average but morphologically relevant,candidate retained by combined score,Candidate region for sublimation caves in past or present ice flows
CC0716,Elysium / Cerberus,161.1048,9.65024,lat,0,,,-2767.7879849696105,244.19332885742188,270.51181659634267,-26.318487738920798,-0.3122926856339827,0.5465277777777778,3.8,0.9305555555555556,0.2638888888888889,0.34375,0.85,1.0,0.27814625850340136,0.6054882369614513,Negative local thermal anomaly / possible shadow or low-inertia material,possible lateral access,cliff wall fracture intersect
CC0011,Elysium / Cerberus,122.3054,21.50098,pit,0,,,-3805.974900283408,502.0940856933594,533.7083133992924,-31.61422770593299,-0.408468489289652,0.5635416666666667,3.8,0.9930555555555556,0.2638888888888889,0.2881944444444444,0.75,1.0,0.27814625850340136,0.5977799036281178,Negative local thermal anomaly / possible shadow or low-inertia material,candidate retained by combined score,large deep Hephaestus pit
CC0713,Elysium / Cerberus,161.1316,9.61115,lat,0,,,-2976.493428345508,235.93736267089844,284.08106246460164,-48.143699793703206,-0.4322931168867177,0.51875,3.8,0.9236111111111112,0.2638888888888889,0.2638888888888889,0.85,1.0,0.27814625850340136,0.5917729591836735,Negative local thermal anomaly / possible shadow or low-inertia material,possible lateral access,Large lateral overhang
CC0272,Other,348.9619,34.21344,sky,0,,,-4685.077564118701,210.33946228027344,238.26152264630352,-27.92206036603008,-1.044590969922085,0.4631944444444444,5.0,0.8854166666666666,0.2638888888888889,0.04513888888888889,1.0,1.0,0.27814625850340136,0.5719118480725623,Negative local thermal anomaly / possible shadow or low-inertia material,direct skylight/access candidate,Tube?
APC028,Tharsis,236.3438,-21.41626,APC,1,65,49.0,4000.916280071799,177.20606994628906,191.2342573609015,-14.028187414612432,-1.9307562786829264,0.4416666666666666,4.0,0.8368055555555556,0.2638888888888889,0.006944444444444444,0.9,0.6666666666666667,0.6651360544217688,0.5443955498866213,High absolute thermal inertia,large collapse/cavity candidate,"APC,  AA"
CC0863,Kasei / NW,289.3419,38.19513,pit,0,,,570.6289726698815,120.56497955322266,129.84603357154512,-9.281054018322465,-0.5424720344927627,0.3086805555555555,3.8,0.4548611111111111,0.2638888888888889,0.20833333333333334,0.75,1.0,0.27814625850340136,0.45125212585034014,Thermally average but morphologically relevant,candidate retained by combined score,Deep dark small pit
CC0869,Kasei / NW,289.3145,38.24622,pit,0,,,849.6263481523712,114.04718780517578,126.90129899175882,-12.85411118658304,-0.7875106332146122,0.2149305555555555,3.8,0.34375,0.2638888888888889,0.09027777777777778,0.75,1.0,0.27814625850340136,0.405766014739229,Thermally average but morphologically relevant,candidate retained by combined score,Interesting pit - almost looks excavated
CC0026,Kasei / NW,284.588,28.78819,end,1,,,495.8101160810573,38.54970169067383,46.85604600232057,-8.30634431164674,-0.6857256390663888,0.0788194444444444,3.4,0.003472222222222222,0.2638888888888889,0.14583333333333334,0.7,0.6666666666666667,0.27814625850340136,0.28819657029478457,Thermally average but morphologically relevant,candidate retained by combined score,Kasei Fracture Tip Cave ~ strong ~ i=49
CC0860,Other,240.4131,46.41468,lat,0,,,22.19955015613053,,,,,,3.8,,,,0.85,1.0,0.27814625850340136,,Thermally average but morphologically relevant,possible lateral access,small channel wall lateral 6m
CC0861,Other,240.4133,46.41562,lat,0,,,21.80454540088085,,,,,,3.8,,,,0.85,1.0,0.27814625850340136,,Thermally average but morphologically relevant,possible lateral access,small channel wall lateral 3m
CC0845,Other,253.0579,34.05775,pit,0,,,3048.8463350623097,,,,,,3.8,,,,0.75,1.0,0.27814625850340136,,Thermally average but morphologically relevant,candidate retained by combined score,Ceraunius Fossae small candidate - 5 m
